id,nodetype
awd1000,award
awd1001,award
awd1002,award
awd1003,award
awd1004,award
awd1005,award
awd1006,award
awd1007,award
awd1008,award
awd1009,award
awd1010,award
awd1011,award
awd1012,award
awd1013,award
awd1014,award
awd1015,award
awd1016,award
awd1017,award
awd1018,award
awd1019,award
awd1020,award
awd1021,award
awd1022,award
awd1023,award
awd1024,award
awd1025,award
awd1026,award
awd1027,award
awd1028,award
awd1029,award
awd1030,award
awd1031,award
awd1032,award
awd1033,award
awd1034,award
awd1035,award
awd1036,award
awd1037,award
awd1038,award
awd1039,award
awd1040,award
awd1041,award
awd1042,award
awd1043,award
awd1044,award
awd1045,award
awd1046,award
awd1047,award
awd1048,award
awd1049,award
awd1050,award
awd1051,award
awd1052,award
awd1053,award
awd1054,award
awd1055,award
awd1056,award
awd1057,award
awd1058,award
awd1059,award
awd1060,award
awd1061,award
awd1062,award
awd1063,award
awd1064,award
awd1065,award
awd1066,award
awd1067,award
awd1068,award
awd1069,award
awd1070,award
awd1071,award
awd1072,award
awd1073,award
awd1074,award
awd1075,award
awd1076,award
awd1077,award
awd1078,award
awd1079,award
awd1080,award
awd1081,award
awd1082,award
awd1083,award
awd1084,award
awd1085,award
awd1086,award
awd1087,award
awd1088,award
awd1089,award
awd1090,award
awd1091,award
awd1092,award
awd1093,award
awd1094,award
awd1095,award
awd1096,award
awd1097,award
awd1098,award
awd1099,award
awd1100,award
awd1101,award
awd1102,award
awd1103,award
awd1104,award
awd1105,award
awd1106,award
awd1107,award
awd1108,award
awd1109,award
awd1110,award
awd1111,award
awd1112,award
awd1113,award
awd1114,award
awd1115,award
awd1116,award
awd1117,award
awd1118,award
awd1119,award
awd1120,award
awd1121,award
awd1122,award
awd1123,award
awd1124,award
awd1125,award
awd1126,award
awd1127,award
awd1128,award
awd1129,award
awd1130,award
awd1131,award
awd1132,award
awd1133,award
awd1134,award
awd1135,award
awd1136,award
awd1137,award
awd1138,award
awd1139,award
awd1140,award
awd1141,award
awd1142,award
