awdid,personid,tiepresent
awd1000,pers10000,1
awd1001,pers10001,1
awd1001,pers10002,1
awd1002,pers10003,1
awd1002,pers10004,1
awd1002,pers10005,1
awd1002,pers10006,1
awd1003,pers10007,1
awd1003,pers10008,1
awd1004,pers10009,1
awd1005,pers10010,1
awd1005,pers10011,1
awd1005,pers10012,1
awd1006,pers10013,1
awd1006,pers10014,1
awd1006,pers10015,1
awd1006,pers10016,1
awd1006,pers10017,1
awd1006,pers10018,1
awd1007,pers10019,1
awd1008,pers10020,1
awd1008,pers10021,1
awd1009,pers10022,1
awd1010,pers10023,1
awd1011,pers10024,1
awd1011,pers10025,1
awd1011,pers10026,1
awd1011,pers10027,1
awd1011,pers10028,1
awd1012,pers10029,1
awd1012,pers10030,1
awd1012,pers10031,1
awd1012,pers10032,1
awd1012,pers10033,1
awd1012,pers10034,1
awd1013,pers10035,1
awd1013,pers10036,1
awd1013,pers10037,1
awd1013,pers10038,1
awd1013,pers10039,1
awd1013,pers10040,1
awd1014,pers10041,1
awd1015,pers10042,1
awd1015,pers10043,1
awd1015,pers10044,1
awd1015,pers10045,1
awd1015,pers10046,1
awd1016,pers10047,1
awd1016,pers10048,1
awd1016,pers10049,1
awd1016,pers10050,1
awd1017,pers10051,1
awd1017,pers10052,1
awd1018,pers10053,1
awd1018,pers10054,1
awd1018,pers10055,1
awd1019,pers10056,1
awd1019,pers10057,1
awd1019,pers10058,1
awd1020,pers10059,1
awd1020,pers10060,1
awd1020,pers10061,1
awd1020,pers10062,1
awd1020,pers10063,1
awd1020,pers10064,1
awd1020,pers10065,1
awd1020,pers10066,1
awd1021,pers10067,1
awd1021,pers10068,1
awd1021,pers10069,1
awd1021,pers10070,1
awd1022,pers10071,1
awd1022,pers10072,1
awd1022,pers10073,1
awd1022,pers10074,1
awd1022,pers10075,1
awd1022,pers10076,1
awd1022,pers10077,1
awd1022,pers10078,1
awd1022,pers10079,1
awd1022,pers10080,1
awd1022,pers10081,1
awd1022,pers10082,1
awd1022,pers10083,1
awd1022,pers10084,1
awd1022,pers10085,1
awd1022,pers10086,1
awd1022,pers10087,1
awd1022,pers10088,1
awd1022,pers10089,1
awd1022,pers10090,1
awd1022,pers10091,1
awd1022,pers10092,1
awd1022,pers10093,1
awd1022,pers10094,1
awd1023,pers10095,1
awd1024,pers10096,1
awd1025,pers10097,1
awd1025,pers10098,1
awd1025,pers10099,1
awd1025,pers10100,1
awd1026,pers10101,1
awd1026,pers10102,1
awd1026,pers10103,1
awd1026,pers10104,1
awd1026,pers10105,1
awd1026,pers10106,1
awd1026,pers10107,1
awd1026,pers10108,1
awd1026,pers10109,1
awd1027,pers10110,1
awd1027,pers10111,1
awd1027,pers10112,1
awd1027,pers10113,1
awd1028,pers10114,1
awd1029,pers10115,1
awd1030,pers10116,1
awd1030,pers10117,1
awd1030,pers10118,1
awd1030,pers10119,1
awd1030,pers10120,1
awd1030,pers10121,1
awd1030,pers10122,1
awd1030,pers10123,1
awd1031,pers10124,1
awd1031,pers10125,1
awd1031,pers10126,1
awd1031,pers10127,1
awd1031,pers10128,1
awd1031,pers10129,1
awd1031,pers10130,1
awd1032,pers10131,1
awd1032,pers10132,1
awd1032,pers10133,1
awd1032,pers10134,1
awd1033,pers10135,1
awd1033,pers10136,1
awd1033,pers10137,1
awd1034,pers10138,1
awd1034,pers10139,1
awd1034,pers10140,1
awd1034,pers10141,1
awd1034,pers10142,1
awd1034,pers10143,1
awd1034,pers10144,1
awd1034,pers10145,1
awd1034,pers10146,1
awd1034,pers10147,1
awd1035,pers10148,1
awd1035,pers10149,1
awd1035,pers10150,1
awd1036,pers10151,1
awd1037,pers10152,1
awd1038,pers10153,1
awd1038,pers10154,1
awd1038,pers10155,1
awd1038,pers10156,1
awd1038,pers10157,1
awd1038,pers10158,1
awd1038,pers10159,1
awd1038,pers10160,1
awd1038,pers10161,1
awd1038,pers10162,1
awd1038,pers10163,1
awd1038,pers10164,1
awd1038,pers10165,1
awd1038,pers10166,1
awd1038,pers10167,1
awd1038,pers10168,1
awd1038,pers10169,1
awd1038,pers10170,1
awd1038,pers10171,1
awd1038,pers10172,1
awd1038,pers10173,1
awd1038,pers10174,1
awd1038,pers10175,1
awd1038,pers10176,1
awd1038,pers10177,1
awd1038,pers10178,1
awd1038,pers10179,1
awd1038,pers10180,1
awd1038,pers10181,1
awd1039,pers10182,1
awd1040,pers10183,1
awd1040,pers10184,1
awd1041,pers10185,1
awd1042,pers10186,1
awd1042,pers10187,1
awd1042,pers10188,1
awd1042,pers10189,1
awd1042,pers10190,1
awd1043,pers10191,1
awd1043,pers10192,1
awd1044,pers10193,1
awd1044,pers10194,1
awd1045,pers10195,1
awd1045,pers10196,1
awd1045,pers10197,1
awd1046,pers10198,1
awd1046,pers10199,1
awd1046,pers10200,1
awd1046,pers10201,1
awd1047,pers10202,1
awd1047,pers10203,1
awd1047,pers10204,1
awd1048,pers10205,1
awd1049,pers10206,1
awd1049,pers10207,1
awd1049,pers10208,1
awd1050,pers10209,1
awd1050,pers10210,1
awd1050,pers10211,1
awd1050,pers10212,1
awd1051,pers10213,1
awd1051,pers10214,1
awd1051,pers10215,1
awd1051,pers10216,1
awd1051,pers10217,1
awd1051,pers10218,1
awd1051,pers10219,1
awd1051,pers10220,1
awd1051,pers10221,1
