libuser,gender,age,award_total_amount
no,male,59,6134834.004924845
yes,male,49,5570272.507802068
yes,female,46,4478188.5312678
yes,female,38,4528090.121499798
yes,female,52,5702254.252341668
no,female,61,3291760.3901581676
yes,male,46,6513836.304008643
no,male,54,4295036.609109027
no,male,43,4153670.109782519
no,male,54,6129669.104538024
no,female,52,5457263.025588798
yes,female,51,3931369.38597663
no,female,45,2932175.3007099577
yes,male,57,5747018.838483481
no,male,44,3945838.8075853693
yes,female,59,3365201.858717938
yes,female,50,5301412.1451682495
yes,male,53,7142677.1817072695
no,male,58,3999387.821204998
no,male,55,4142067.7813487905
yes,male,71,9051402.183861656
yes,female,75,6424587.637817759
no,female,49,2957972.8882593657
no,female,56,4977562.681343769
no,male,57,6552308.802559604
no,female,58,5634010.385697613
yes,female,62,5004445.805434386
no,male,49,4914901.020543737
no,female,53,1950122.9811602917
no,male,52,5621739.79938947
yes,male,45,4298560.492622382
no,male,70,5852380.189292347
yes,male,56,6762117.1878767
yes,male,60,6332847.198742212
yes,male,66,6424971.412206437
yes,male,57,6747087.620906473
no,male,50,5019685.675013707
no,male,56,4757165.118899018
yes,female,60,5993679.777505658
yes,female,54,5287669.618515831
yes,male,52,6387550.979266865
no,male,60,5720639.306951693
no,male,68,7500517.3046812145
yes,male,54,5209062.736791567
yes,male,48,5116142.7204225995
no,female,60,6850969.886795661
no,female,42,3219562.851694634
yes,female,45,5462332.834896612
no,female,55,3138326.2448995686
no,male,50,4518531.352173002
no,male,37,3284641.069876513
yes,female,58,7079337.415068698
no,female,56,4839106.064526958
no,female,52,3960464.1720119687
no,female,46,3190271.206846246
no,female,44,4476790.511861572
no,female,57,3709833.1942262873
no,female,57,3169541.9997873665
yes,male,54,4757968.913158699
yes,female,53,2570952.5117236353
no,male,51,6120985.280855544
yes,male,65,6244614.625998358
yes,female,61,5309618.022182284
no,female,55,3280743.4282596945
yes,female,52,3061842.549406111
no,female,53,4200081.944741734
yes,male,54,6190679.0855632005
yes,male,68,8422277.490448186
no,female,50,3428365.2977430304
yes,male,67,5511978.861608356
yes,female,45,5095748.497002218
no,male,40,3163086.6350102574
yes,female,45,4928623.099659882
yes,female,57,4392321.686959977
yes,male,61,7016400.8840744635
no,male,55,4455936.877249775
yes,male,50,4522106.238913991
yes,male,50,7169894.480924003
yes,female,43,3578176.208354373
yes,male,58,5390950.841355248
no,female,54,4220721.746901885
yes,male,65,6623895.078363143
no,male,51,5674475.632728008
no,male,49,6095841.004695526
no,male,58,6456776.20676241
no,male,47,4427171.270863327
no,female,54,4605209.983333109
no,male,52,4900330.637751486
no,male,56,6729522.5330108935
no,female,54,5306823.4439515155
no,male,50,4745712.211800482
no,male,58,5399182.696351135
no,female,44,4146586.1396414735
yes,male,48,3408087.790458928
no,female,56,3727921.4787220107
yes,female,54,3647641.8720108327
no,male,62,5924541.302453274
no,female,55,3946458.6994638625
no,male,46,3872947.455942583
no,male,63,7946700.821029151
yes,male,61,6404410.685106657
yes,female,70,6750954.117667218
no,female,51,2974664.7018905026
yes,male,54,6207093.791010188
yes,male,52,5311824.793499543
no,male,49,7522112.522118454
yes,female,45,3091816.6111240354
yes,female,54,3784883.986728903
yes,female,53,3317287.5297527937
no,male,54,4910945.5141888
yes,female,46,4529401.032829285
no,female,60,4689882.308034164
no,female,46,2525351.0639880244
yes,female,61,5552594.505544656
yes,female,45,1663370.0377586235
yes,female,53,3825813.561089149
no,male,65,6241210.802255921
no,female,63,4179181.322062611
no,female,53,5042177.530927021
no,female,56,4974206.077649412
yes,male,46,6333404.3203742765
yes,female,42,1839778.3580757997
yes,female,67,5703038.760031946
no,female,51,3769882.0686104875
no,male,51,4726126.744160461
no,male,49,5871495.536464696
no,female,62,5670164.641466523
yes,male,45,4927880.203465188
yes,male,54,5058051.1013228195
no,male,50,5208186.54080844
yes,male,63,7100351.630593056
no,female,52,3929971.370821026
yes,male,51,5334710.224382573
no,male,57,6154008.0435600085
no,female,50,5366343.660892661
yes,male,53,4651894.631246954
no,female,55,4919138.219184857
no,female,62,3667398.1998065114
yes,male,43,3527462.5676790513
yes,male,55,7636984.93409321
no,male,57,6461426.692842046
no,male,55,4541368.258920499
no,male,50,4987292.288634958
no,male,53,5702917.635767197
no,male,58,5832759.5285665225
yes,female,51,5069575.035748578
no,female,45,3875323.0113176117
yes,male,51,4739953.155484617
no,female,46,3670547.386068891
no,female,47,2864275.2208568593
no,male,44,3335220.5013600453
no,female,60,4960143.7632136475
yes,female,53,5092174.118928299
no,female,51,2911656.6544048684
no,male,51,5228684.478209104
yes,male,55,5903842.061197959
yes,female,52,4755473.541237632
yes,female,54,4313138.9841897115
yes,male,48,5407262.311131865
no,female,54,3694905.7436042163
no,male,63,6935460.125017749
